2026-04-22 13:53:33 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:34 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:53:34 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:34 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:35 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:35 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:53:35 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:53:36 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:38 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:40 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:40 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:40 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:41 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:42 | Object: ping pong ball | Confidence: 0.46
2026-04-22 13:53:42 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:42 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:53:43 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:53:43 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:44 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:44 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:45 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:46 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:53:46 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:47 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:53:48 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:48 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:53:49 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:50 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:53:51 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:51 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:53:52 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:52 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:53:53 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:53 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:53:54 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:53:54 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:53:58 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:01 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:54:02 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:54:02 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:04 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:04 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:04 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:54:05 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:05 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:06 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:54:08 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:54:08 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:09 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:10 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:14 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:15 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:15 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:20 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:30 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:33 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:35 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:37 | Object: ping pong ball | Confidence: 0.40
2026-04-22 13:54:38 | Object: ping pong ball | Confidence: 0.42
2026-04-22 13:54:39 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:54:42 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:54:46 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:47 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:48 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:48 | Object: ping pong ball | Confidence: 0.43
2026-04-22 13:54:49 | Object: ping pong ball | Confidence: 0.41
2026-04-22 13:54:49 | Object: ping pong ball | Confidence: 0.41
