2026-04-22 13:55:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:44 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:47 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:47 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:49 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:49 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:50 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:50 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:51 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:51 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:52 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:52 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:55 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:55 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:56 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:56 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:57 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:57 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:58 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:58 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:58 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:55:59 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:00 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:00 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:01 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:01 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:02 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:03 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:04 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:04 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:05 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:05 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:05 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:06 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:06 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:07 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:07 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:08 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:08 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:09 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:09 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:10 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:10 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:11 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:11 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:12 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:12 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:12 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:13 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:13 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:14 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:14 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:14 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:15 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:16 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:16 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:17 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:17 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:17 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:18 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:18 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:19 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:19 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:20 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:20 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:20 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:22 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:22 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:23 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:23 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:24 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:24 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:24 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:25 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:25 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:26 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:27 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:27 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:28 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:28 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:29 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:29 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:29 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:30 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:31 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:31 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:31 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:32 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:32 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:33 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:33 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:34 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:34 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:35 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:36 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:37 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:37 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:38 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:38 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:39 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:40 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:40 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:41 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:44 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:47 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:49 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:49 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
